porowner,name,url,stars,contributors,commits_5_anos,default_branch
saltstack,salt,https://github.com/saltstack/salt,15448,4034,12767,master
fabric,fabric,https://github.com/fabric/fabric,15437,19,156,main
ansible,awx,https://github.com/ansible/awx,15428,689,5203,devel
edent,SuperTinyIcons,https://github.com/edent/SuperTinyIcons,15339,178,924,master
rossant,awesome-math,https://github.com/rossant/awesome-math,15339,80,139,master
GaiZhenbiao,ChuanhuChatGPT,https://github.com/GaiZhenbiao/ChuanhuChatGPT,15332,55,1263,main
jupyter,jupyter,https://github.com/jupyter/jupyter,15313,107,318,master
Canner,WrenAI,https://github.com/Canner/WrenAI,15311,61,2465,main
mail-in-a-box,mailinabox,https://github.com/mail-in-a-box/mailinabox,15311,242,363,main
pre-commit,pre-commit,https://github.com/pre-commit/pre-commit,15300,166,824,main
albumentations-team,albumentations,https://github.com/albumentations-team/albumentations,15298,172,695,main
encode,httpx,https://github.com/encode/httpx,15287,247,522,master
lra,mackup,https://github.com/lra/mackup,15243,501,325,master
beetbox,beets,https://github.com/beetbox/beets,15174,706,4417,master
budtmo,docker-android,https://github.com/budtmo/docker-android,15144,59,242,master
andkret,Cookbook,https://github.com/andkret/Cookbook,15105,40,124,master
bloomberg,memray,https://github.com/bloomberg/memray,15048,71,1269,main
jundot,omlx,https://github.com/jundot/omlx,14991,113,1237,main
llmware-ai,llmware,https://github.com/llmware-ai/llmware,14863,89,2386,main
Nuitka,Nuitka,https://github.com/Nuitka/Nuitka,14852,210,7185,develop
MemoriLabs,Memori,https://github.com/MemoriLabs/Memori,14816,37,600,main
teng-lin,notebooklm-py,https://github.com/teng-lin/notebooklm-py,14809,25,1231,main
Comfy-Org,ComfyUI-Manager,https://github.com/Comfy-Org/ComfyUI-Manager,14773,824,4756,main
coderamp-labs,gitingest,https://github.com/coderamp-labs/gitingest,14752,55,405,main
scipy,scipy,https://github.com/scipy/scipy,14716,1911,11762,main
WEIFENG2333,VideoCaptioner,https://github.com/WEIFENG2333/VideoCaptioner,14700,13,527,master
horovod,horovod,https://github.com/horovod/horovod,14690,176,399,master
Anionex,banana-slides,https://github.com/Anionex/banana-slides,14674,17,771,main
microsoft,playwright-python,https://github.com/microsoft/playwright-python,14664,53,669,main
sympy,sympy,https://github.com/sympy/sympy,14643,1489,15033,master
Zulko,moviepy,https://github.com/Zulko/moviepy,14630,191,494,master
nltk,nltk,https://github.com/nltk/nltk,14623,497,1092,develop
google-deepmind,alphafold,https://github.com/google-deepmind/alphafold,14612,25,209,main
pyodide,pyodide,https://github.com/pyodide/pyodide,14612,306,2763,main
SWivid,F5-TTS,https://github.com/SWivid/F5-TTS,14577,63,696,main
BlinkDL,RWKV-LM,https://github.com/BlinkDL/RWKV-LM,14537,5,877,main
JoeanAmier,TikTokDownloader,https://github.com/JoeanAmier/TikTokDownloader,14530,5,1895,master
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,14484,107,198,master
LibreTranslate,LibreTranslate,https://github.com/LibreTranslate/LibreTranslate,14414,292,1550,main
flairNLP,flair,https://github.com/flairNLP/flair,14380,278,3311,master
vectorize-io,hindsight,https://github.com/vectorize-io/hindsight,14317,97,1408,main
MODSetter,SurfSense,https://github.com/MODSetter/SurfSense,14292,80,5994,main
maurosoria,dirsearch,https://github.com/maurosoria/dirsearch,14288,113,886,master
dmlc,dgl,https://github.com/dmlc/dgl,14275,298,2703,master
optuna,optuna,https://github.com/optuna/optuna,14237,386,10848,master
modelscope,ms-swift,https://github.com/modelscope/ms-swift,14232,147,3325,main
SFTtech,openage,https://github.com/SFTtech/openage,14220,221,1866,master
PaddlePaddle,PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,14216,188,1375,release/2.9
unifyai,ivy,https://github.com/unifyai/ivy,14190,1486,19003,main
sml2h3,ddddocr,https://github.com/sml2h3/ddddocr,14110,9,111,master
geldata,gel,https://github.com/geldata/gel,14089,140,4162,master
idank,explainshell,https://github.com/idank/explainshell,14061,27,475,master
vibrantlabsai,ragas,https://github.com/vibrantlabsai/ragas,14029,246,1147,main
FlareSolverr,FlareSolverr,https://github.com/FlareSolverr/FlareSolverr,14006,46,334,master
google,yapf,https://github.com/google/yapf,13983,156,232,main
mwaskom,seaborn,https://github.com/mwaskom/seaborn,13887,216,466,master
dottxt-ai,outlines,https://github.com/dottxt-ai/outlines,13879,157,1254,main
pytest-dev,pytest,https://github.com/pytest-dev/pytest,13870,1117,3651,main
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,13865,397,6870,master
mlfoundations,open_clip,https://github.com/mlfoundations/open_clip,13847,68,680,main
dask,dask,https://github.com/dask/dask,13844,650,3264,main
Tencent-Hunyuan,Hunyuan3D-2,https://github.com/Tencent-Hunyuan/Hunyuan3D-2,13824,37,184,main
andrewyng,aisuite,https://github.com/andrewyng/aisuite,13780,33,298,main
rohitg00,ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,13777,6,1115,main
ag-ui-protocol,ag-ui,https://github.com/ag-ui-protocol/ag-ui,13768,110,1844,main
yusufkaraaslan,Skill_Seekers,https://github.com/yusufkaraaslan/Skill_Seekers,13725,40,726,development
NVIDIA,TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,13703,384,6808,main
NevaMind-AI,memU,https://github.com/NevaMind-AI/memU,13692,30,288,main
evilsocket,opensnitch,https://github.com/evilsocket/opensnitch,13678,105,1312,master
alexta69,metube,https://github.com/alexta69/metube,13621,87,651,master
nikopueringer,CorridorKey,https://github.com/nikopueringer/CorridorKey,13605,35,196,main
python-pillow,Pillow,https://github.com/python-pillow/Pillow,13579,505,8366,main
browser-use,browser-harness,https://github.com/browser-use/browser-harness,13576,68,391,main
Data-Centric-AI-Community,fg-data-profiling,https://github.com/Data-Centric-AI-Community/fg-data-profiling,13570,141,710,develop
redis,redis-py,https://github.com/redis/redis-py,13538,546,1193,master
cookiecutter,cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,13524,472,3906,main
searx,searx,https://github.com/searx/searx,13497,208,360,master
Gallopsled,pwntools,https://github.com/Gallopsled/pwntools,13457,306,627,dev
plasma-umass,scalene,https://github.com/plasma-umass/scalene,13425,57,2169,master
apache,tvm,https://github.com/apache/tvm,13382,1144,7846,main
Lightning-AI,litgpt,https://github.com/Lightning-AI/litgpt,13380,132,1475,main
TomSchimansky,CustomTkinter,https://github.com/TomSchimansky/CustomTkinter,13368,14,551,master
